Year,Month,ShopName,Item,Quantity,Total,Wholesale,Profit
2022,October,Gampaha,Bird sponch-200,2,Rs.  400.00,Rs.  250.00,Rs.  150.00
2022,October,Gampaha,black mask - 800,2,"Rs.  1,600.00","Rs.  1,200.00",Rs.  400.00
2022,October,Gampaha,Black night shaving foam,5,"Rs.  3,750.00","Rs.  2,750.00","Rs.  1,000.00"
2022,October,Gampaha,blusher - 200,1,Rs.  200.00,Rs.  150.00,Rs.  50.00
2022,October,Gampaha,body lotion serum-450,10,"Rs.  4,500.00","Rs.  2,300.00","Rs.  2,200.00"
2022,October,Gampaha,bon bon spidle rod-250,4,"Rs.  1,000.00",Rs.  840.00,Rs.  160.00
2022,October,Gampaha,borjuwa lipstick pen - 150,10,"Rs.  1,800.00","Rs.  1,600.00",Rs.  200.00
2022,October,Gampaha,Buffer - 120,2,Rs.  240.00,Rs.  200.00,Rs.  40.00
2022,October,Gampaha,candela soap,1,Rs.  250.00,Rs.  200.00,Rs.  50.00
2022,October,Gampaha,carotone body lotion - (S),1,"Rs.  3,200.00","Rs.  2,600.00",Rs.  600.00
2022,October,Gampaha,Carotone serum,1,"Rs.  1,500.00","Rs.  1,300.00",Rs.  200.00
2022,October,Gampaha,Ccuk compact powder,2,"Rs.  1,200.00","Rs.  1,048.50",Rs.  151.50
2022,October,Gampaha,cesser - 1200,1,"Rs.  1,200.00","Rs.  1,000.00",Rs.  200.00
2022,October,Gampaha,cesser - 1600,1,"Rs.  1,600.00","Rs.  1,500.00",Rs.  100.00
2022,October,Gampaha,cesser-1000,3,"Rs.  3,300.00","Rs.  2,325.00",Rs.  975.00
2022,October,Gampaha,Cleaning sponch - 10,134,"Rs.  1,340.00",Rs.  938.00,Rs.  402.00
2022,October,Gampaha,coloer crap lether-600,1,Rs.  600.00,Rs.  500.00,Rs.  100.00
2022,October,Gampaha,colour cap lether-600,4,"Rs.  2,400.00","Rs.  1,200.00","Rs.  1,200.00"
2022,October,Gampaha,comb with handle t&g,4,Rs.  440.00,Rs.  180.00,Rs.  260.00
2022,October,Gampaha,concealer mac-400,1,Rs.  400.00,Rs.  300.00,Rs.  100.00
2022,October,Gampaha,cotton -420,11,"Rs.  6,930.00","Rs.  6,050.00",Rs.  880.00
2022,October,Gampaha,cotton ball-380,2,Rs.  500.00,Rs.  360.00,Rs.  140.00
2022,October,Gampaha,cotton-60,3,Rs.  90.00,Rs.  60.00,Rs.  30.00
2022,October,Gampaha,Crape - 240,1,Rs.  320.00,Rs.  200.00,Rs.  120.00
2022,October,Gampaha,Crape - 400,9,"Rs.  3,150.00","Rs.  2,520.00",Rs.  630.00
2022,October,Gampaha,crocodle bun (L)-380,2,Rs.  400.00,Rs.  200.00,Rs.  200.00
2022,October,Gampaha,crocodle bun (S),1,Rs.  150.00,Rs.  100.00,Rs.  50.00
2022,October,Gampaha,Cutting comb t&g,12,"Rs.  1,440.00",Rs.  540.00,Rs.  900.00
2022,October,Gampaha,darma + beauty cream,1,Rs.  900.00,Rs.  750.00,Rs.  150.00
2022,October,Gampaha,delco shaving razer,4,"Rs.  2,600.00","Rs.  1,260.00","Rs.  1,340.00"
2022,October,Gampaha,dexe hair building fiber,2,"Rs.  2,800.00","Rs.  2,400.00",Rs.  400.00
2022,October,Gampaha,Dexe Hair Shampoo,3,Rs.  180.00,Rs.  150.00,Rs.  30.00
2022,October,Gampaha,Dissar hair blam,1,Rs.  350.00,Rs.  300.00,Rs.  50.00
2022,October,Gampaha,Diy brush - 140,6,Rs.  480.00,Rs.  420.00,Rs.  60.00
2022,October,Gampaha,Diy brush with comb,5,Rs.  700.00,Rs.  600.00,Rs.  100.00
2022,October,Gampaha,diy brush-180,5,Rs.  350.00,Rs.  300.00,Rs.  50.00
2022,October,Gampaha,Do Do girl eye shadow-850,1,Rs.  500.00,Rs.  400.00,Rs.  100.00
2022,October,Gampaha,Donut bun (L) - 200,3,Rs.  540.00,Rs.  450.00,Rs.  90.00
2022,October,Gampaha,Donut bun (M) - 150,2,Rs.  300.00,Rs.  240.00,Rs.  60.00
2022,October,Gampaha,Donut bun -120,2,Rs.  200.00,Rs.  80.00,Rs.  120.00
2022,October,Gampaha,dr.rashel 8in1 serum-1350,1,Rs.  950.00,Rs.  690.00,Rs.  260.00
2022,October,Gampaha,Dr.rashel alo gel,5,"Rs.  4,750.00","Rs.  3,925.00",Rs.  825.00
2022,October,Gampaha,DR.Rashel alovera pimple  cream,1,Rs.  700.00,Rs.  600.00,Rs.  100.00
2022,October,Gampaha,dr.rashel black mask-1200,1,"Rs.  1,200.00",Rs.  750.00,Rs.  450.00
2022,October,Gampaha,dr.rashel vit.c gel.l-1000,2,"Rs.  2,200.00","Rs.  1,650.00",Rs.  550.00
2022,October,Gampaha,Dr.rashel vitamin c fixer,1,"Rs.  1,200.00","Rs.  1,000.00",Rs.  200.00
2022,October,Gampaha,dr.rashel vitamin c gel.s,2,"Rs.  1,100.00",Rs.  900.00,Rs.  200.00
2022,October,Gampaha,dr.rashel vitamin c night cream,11,"Rs.  15,950.00","Rs.  13,200.00","Rs.  2,750.00"
2022,October,Gampaha,dr.rashel vitamin c. face serum,4,"Rs.  5,800.00","Rs.  5,000.00",Rs.  800.00
2022,October,Gampaha,dr.rashel whitening day cream,1,"Rs.  1,450.00","Rs.  1,250.00",Rs.  200.00
2022,October,Gampaha,dr.rashel whitening serum,3,"Rs.  4,350.00","Rs.  3,750.00",Rs.  600.00
2022,October,Gampaha,dreamron 5min expres1.0,1,Rs.  760.00,Rs.  663.75,Rs.  96.25
2022,October,Gampaha,Dreamron algae cleansing milk,1,Rs.  490.00,Rs.  427.50,Rs.  62.50
2022,October,Gampaha,Dreamron algae mud pack,1,Rs.  470.00,Rs.  412.50,Rs.  57.50
2022,October,Gampaha,Dreamron algae pack,1,Rs.  670.00,Rs.  585.00,Rs.  85.00
2022,October,Gampaha,Dreamron algae scrub,1,Rs.  470.00,Rs.  532.50,-Rs.  62.50
2022,October,Gampaha,dreamron amonia free colour - 1,3,"Rs.  3,870.00","Rs.  3,397.50",Rs.  472.50
2022,October,Gampaha,Dreamron black 1.0,14,"Rs.  12,160.00","Rs.  10,762.50","Rs.  1,397.50"
2022,October,Gampaha,Dreamron black 2.0,12,"Rs.  13,200.00","Rs.  11,610.00","Rs.  1,590.00"
2022,October,Gampaha,Dreamron black 3.0,6,"Rs.  6,600.00","Rs.  5,805.00",Rs.  795.00
2022,October,Gampaha,dreamron black hena tin,3,Rs.  800.00,Rs.  787.50,Rs.  12.50
2022,October,Gampaha,Dreamron bleacing powder,30,"Rs.  12,600.00","Rs.  11,137.50","Rs.  1,462.50"
2022,October,Gampaha,Dreamron coconut conditioner (L),1,Rs.  560.00,Rs.  487.50,Rs.  72.50
2022,October,Gampaha,Dreamron coconut shampoo (L),2,"Rs.  1,120.00",Rs.  975.00,Rs.  145.00
2022,October,Gampaha,Dreamron coconut shampoo (S),1,Rs.  280.00,Rs.  243.75,Rs.  36.25
2022,October,Gampaha,Dreamron color shampo,1,Rs.  760.00,Rs.  663.75,Rs.  96.25
2022,October,Gampaha,dreamron conditioner .1l,5,"Rs.  4,200.00","Rs.  3,881.25",Rs.  318.75
2022,October,Gampaha,dreamron developer  -12%,9,"Rs.  3,150.00","Rs.  3,206.25",-Rs.  56.25
2022,October,Gampaha,dreamron developer -6%,18,"Rs.  7,650.00","Rs.  6,682.50",Rs.  967.50
2022,October,Gampaha,dreamron developer 1l 12%,3,"Rs.  5,370.00","Rs.  4,725.00",Rs.  645.00
2022,October,Gampaha,dreamron developer 1l 6%,5,"Rs.  7,050.00","Rs.  6,187.50",Rs.  862.50
2022,October,Gampaha,dreamron developer 1l 9%,1,"Rs.  1,410.00","Rs.  1,237.50",Rs.  172.50
2022,October,Gampaha,Dreamron dio (L),1,Rs.  540.00,Rs.  615.00,-Rs.  75.00
2022,October,Gampaha,Dreamron dio (S),6,"Rs.  1,750.00","Rs.  1,867.50",-Rs.  117.50
2022,October,Gampaha,Dreamron dio new,9,"Rs.  1,800.00","Rs.  1,552.50",Rs.  247.50
2022,October,Gampaha,dreamron eco colour,2,"Rs.  4,020.00","Rs.  3,540.00",Rs.  480.00
2022,October,Gampaha,Dreamron fashion colour - 1150,1,Rs.  980.00,Rs.  862.50,Rs.  117.50
2022,October,Gampaha,Dreamron fashion colour - 1495,9,"Rs.  11,520.00","Rs.  10,091.25","Rs.  1,428.75"
2022,October,Gampaha,Dreamron fation colour - 950,1,Rs.  810.00,Rs.  712.50,Rs.  97.50
2022,October,Gampaha,dreamron gold kit,4,"Rs.  30,680.00","Rs.  22,905.00","Rs.  7,775.00"
2022,October,Gampaha,dreamron hair maskara,2,"Rs.  1,080.00",Rs.  945.00,Rs.  135.00
2022,October,Gampaha,Dreamron hair spa,1,"Rs.  2,720.00","Rs.  2,400.00",Rs.  320.00
2022,October,Gampaha,Dreamron hair spray,1,"Rs.  3,830.00","Rs.  3,375.00",Rs.  455.00
2022,October,Gampaha,Dreamron hair therapy,2,"Rs.  1,480.00","Rs.  1,305.00",Rs.  175.00
2022,October,Gampaha,dreamron henna powder - 50g,1,Rs.  270.00,Rs.  232.50,Rs.  37.50
2022,October,Gampaha,dreamron henna powder -100g,2,Rs.  640.00,Rs.  885.00,-Rs.  245.00
2022,October,Gampaha,Dreamron keratin conditioner,1,Rs.  740.00,Rs.  648.75,Rs.  91.25
2022,October,Gampaha,Dreamron keratin shampoo,1,Rs.  740.00,Rs.  648.75,Rs.  91.25
2022,October,Gampaha,Dreamron leave on conditioner (L),2,"Rs.  2,540.00","Rs.  2,242.50",Rs.  297.50
2022,October,Gampaha,Dreamron massage gel,3,"Rs.  2,220.00","Rs.  1,946.25",Rs.  273.75
2022,October,Gampaha,Dreamron nail remove,1,Rs.  450.00,Rs.  390.00,Rs.  60.00
2022,October,Gampaha,Dreamron premium hena tin - 8g,3,"Rs.  1,080.00","Rs.  1,023.75",Rs.  56.25
2022,October,Gampaha,dreamron shampo 1l,2,"Rs.  2,300.00","Rs.  2,017.50",Rs.  282.50
2022,October,Gampaha,Dreamron silicon (M),3,"Rs.  1,800.00","Rs.  1,575.00",Rs.  225.00
2022,October,Gampaha,Dreamron silicone (S),5,"Rs.  1,650.00","Rs.  1,443.75",Rs.  206.25
2022,October,Gampaha,Dreamron straight conditioner,14,"Rs.  10,640.00","Rs.  9,397.50","Rs.  1,242.50"
2022,October,Gampaha,dreamron straight pack,21,"Rs.  33,180.00","Rs.  29,400.00","Rs.  3,780.00"
2022,October,Gampaha,Dreamron straight shampoo,11,"Rs.  8,360.00","Rs.  7,301.25","Rs.  1,058.75"
2022,October,Gampaha,dreamron super conditioner,1,"Rs.  1,020.00",Rs.  896.25,Rs.  123.75
2022,October,Gampaha,Dreamron toner,1,Rs.  430.00,Rs.  371.25,Rs.  58.75
2022,October,Gampaha,Dreamron treatment conditioner,4,"Rs.  3,040.00","Rs.  2,655.00",Rs.  385.00
2022,October,Gampaha,dulfer cream-1800,5,"Rs.  9,000.00","Rs.  7,250.00","Rs.  1,750.00"
2022,October,Gampaha,dulhan maskara-200,7,"Rs.  1,400.00","Rs.  1,260.00",Rs.  140.00
2022,October,Gampaha,E vitamin cup,17,"Rs.  12,750.00","Rs.  11,050.00","Rs.  1,700.00"
2022,October,Gampaha,E vitamin loos,110,"Rs.  1,650.00",Rs.  660.00,Rs.  990.00
2022,October,Gampaha,emary board,1,Rs.  50.00,Rs.  12.00,Rs.  38.00
2022,October,Gampaha,end paper-280,1,Rs.  280.00,Rs.  200.00,Rs.  80.00
2022,October,Gampaha,Eprun - 400,3,Rs.  960.00,Rs.  840.00,Rs.  120.00
2022,October,Gampaha,Ever fair cream,1,Rs.  500.00,Rs.  400.00,Rs.  100.00
2022,October,Gampaha,Evon black 1.0,10,"Rs.  5,200.00","Rs.  4,550.00",Rs.  650.00
2022,October,Gampaha,Evon black 2.0,12,"Rs.  4,320.00","Rs.  4,050.00",Rs.  270.00
2022,October,Gampaha,evon black 3.0,3,"Rs.  1,080.00","Rs.  1,012.50",Rs.  67.50
2022,October,Gampaha,evon bleaching powder,10,"Rs.  4,100.00","Rs.  3,325.00",Rs.  775.00
2022,October,Gampaha,evon carrot face wash,6,"Rs.  2,340.00","Rs.  2,002.50",Rs.  337.50
2022,October,Gampaha,evon cleanser,1,Rs.  360.00,Rs.  294.00,Rs.  66.00
2022,October,Gampaha,evon cucumber cleanser,20,"Rs.  10,160.00","Rs.  8,500.00","Rs.  1,660.00"
2022,October,Gampaha,evon cucumber face wash,5,"Rs.  2,500.00","Rs.  2,193.75",Rs.  306.25
2022,October,Gampaha,evon cucumber scrub,8,"Rs.  3,920.00","Rs.  3,192.00",Rs.  728.00
2022,October,Gampaha,evon cucumber toner,2,Rs.  820.00,Rs.  712.50,Rs.  107.50
2022,October,Gampaha,evon developer,10,"Rs.  2,080.00","Rs.  2,975.00",-Rs.  895.00
2022,October,Gampaha,evon developer (L),1,Rs.  770.00,Rs.  675.00,Rs.  95.00
2022,October,Gampaha,evon facial scrub,1,Rs.  590.00,Rs.  486.50,Rs.  103.50
2022,October,Gampaha,Evon fashion colour - 930,2,"Rs.  1,580.00","Rs.  1,395.00",Rs.  185.00
2022,October,Gampaha,Evon fastion colour - 1250,9,"Rs.  9,630.00","Rs.  8,437.50","Rs.  1,192.50"
2022,October,Gampaha,evon gold face wash,6,"Rs.  1,900.00","Rs.  1,827.00",Rs.  73.00
2022,October,Gampaha,evon hair tonic,2,"Rs.  1,260.00","Rs.  1,036.00",Rs.  224.00
2022,October,Gampaha,evon rose toner,11,"Rs.  3,740.00","Rs.  3,041.50",Rs.  698.50
2022,October,Gampaha,evon straight cream,11,"Rs.  7,690.00","Rs.  6,791.50",Rs.  898.50
2022,October,Gampaha,evon strait pack,23,"Rs.  33,120.00","Rs.  31,050.00","Rs.  2,070.00"
2022,October,Gampaha,Evon strawberry scrub,2,"Rs.  1,640.00","Rs.  1,337.00",Rs.  303.00
2022,October,Gampaha,evon vitamin c cleanser,12,"Rs.  5,090.00","Rs.  4,205.00",Rs.  885.00
2022,October,Gampaha,Extacter -80,11,Rs.  660.00,Rs.  330.00,Rs.  330.00
2022,October,Gampaha,Eyaring -200,1,Rs.  200.00,Rs.  170.00,Rs.  30.00
2022,October,Gampaha,eye brow cesser-200,8,"Rs.  1,600.00","Rs.  1,200.00",Rs.  400.00
2022,October,Gampaha,Eye brow pencil - 120,16,"Rs.  1,920.00",Rs.  560.00,"Rs.  1,360.00"
2022,October,Gampaha,Eye brow pencil - 180,6,Rs.  840.00,Rs.  600.00,Rs.  240.00
2022,October,Gampaha,eye guard - 100,2,Rs.  200.00,Rs.  80.00,Rs.  120.00
2022,October,Gampaha,eye lash 3D-230,35,"Rs.  9,800.00","Rs.  8,050.00","Rs.  1,750.00"
2022,October,Gampaha,Eye lash glue -120,5,Rs.  660.00,Rs.  400.00,Rs.  260.00
